# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0245        	smoothSolver	3.862850e-03	9.258940e-06	2	5.765330e-03	8.886360e-07	3	1.640120e-03	4.634660e-06	2	false	smoothSolver	5.350940e-03	4.143830e-06	1	true	smoothSolver	5.074170e-03	1.797590e-06	1	true	DICPCG	6.998160e-04	3.207960e-05	125	true
0.025         	smoothSolver	3.769020e-03	9.046460e-06	2	5.666560e-03	8.737930e-07	3	1.614160e-03	4.568260e-06	2	false	smoothSolver	5.249890e-03	4.044600e-06	1	true	smoothSolver	4.971910e-03	1.701250e-06	1	true	DICPCG	6.805430e-04	3.339740e-05	124	true
0.0255        	smoothSolver	3.679050e-03	8.843030e-06	2	5.570330e-03	8.592950e-07	3	1.588960e-03	4.503860e-06	2	false	smoothSolver	5.152730e-03	3.948120e-06	1	true	smoothSolver	4.873730e-03	1.610570e-06	1	true	DICPCG	6.832420e-04	3.078880e-05	124	true
0.026         	smoothSolver	3.592540e-03	8.647540e-06	2	5.476140e-03	8.451280e-07	3	1.564800e-03	4.441800e-06	2	false	smoothSolver	5.059100e-03	3.854210e-06	1	true	smoothSolver	4.779380e-03	1.525230e-06	1	true	DICPCG	6.843630e-04	3.290100e-05	123	true
0.0265        	smoothSolver	3.509830e-03	8.459700e-06	2	5.386280e-03	8.314330e-07	3	1.541420e-03	4.381270e-06	2	false	smoothSolver	4.968900e-03	3.762810e-06	1	true	smoothSolver	4.688630e-03	1.444940e-06	1	true	DICPCG	6.560160e-04	2.977120e-05	123	true
0.027         	smoothSolver	3.430360e-03	8.279240e-06	2	5.297600e-03	8.179770e-07	3	1.518810e-03	4.322580e-06	2	false	smoothSolver	4.882110e-03	3.673980e-06	1	true	smoothSolver	4.601280e-03	1.369440e-06	1	true	DICPCG	6.444110e-04	3.123010e-05	118	true
0.0275        	smoothSolver	3.353740e-03	8.105400e-06	2	5.210560e-03	8.048220e-07	3	1.497250e-03	4.265770e-06	2	false	smoothSolver	4.798740e-03	3.587750e-06	1	true	smoothSolver	4.517140e-03	1.298520e-06	1	true	DICPCG	6.335790e-04	3.026610e-05	116	true
0.028         	smoothSolver	3.280020e-03	7.938040e-06	2	5.126560e-03	7.920540e-07	3	1.476490e-03	4.211110e-06	2	false	smoothSolver	4.718450e-03	3.503910e-06	1	true	smoothSolver	4.436050e-03	1.231950e-06	1	true	DICPCG	6.235920e-04	2.953270e-05	115	true
0.0285        	smoothSolver	3.209110e-03	7.776950e-06	2	5.044800e-03	7.796460e-07	3	1.456530e-03	4.158390e-06	2	false	smoothSolver	4.640950e-03	3.422270e-06	1	true	smoothSolver	4.357850e-03	1.169550e-06	1	true	DICPCG	6.164870e-04	3.023280e-05	115	true
0.029         	smoothSolver	3.140800e-03	7.621500e-06	2	4.964570e-03	7.675320e-07	3	1.437160e-03	4.107730e-06	2	false	smoothSolver	4.566050e-03	3.342710e-06	1	true	smoothSolver	4.282380e-03	1.111140e-06	1	true	DICPCG	6.048690e-04	2.891090e-05	115	true
0.0295        	smoothSolver	3.075070e-03	7.471560e-06	2	4.886320e-03	7.557270e-07	3	1.418370e-03	4.058840e-06	2	false	smoothSolver	4.493650e-03	3.265190e-06	1	true	smoothSolver	4.209490e-03	1.056610e-06	1	true	DICPCG	5.992940e-04	2.763210e-05	114	true
